opportunity_id,sales_agent,manager,regional_office,product,account,deal_stage,engage_date,propensity_to_close,days_in_stage,historical_stage_norm_days,stall_ratio,stalled,risk_score,deal_summary
S3W6Q07M,Kami Bicknell,Summer Sewald,West,GTX Plus Pro,Acme Corporation,Engaging,2017-01-16,0.5884941415119131,349.0,84.0,4.154761904761905,True,0.6174788080172564,"Kami Bicknell's GTX Plus Pro opportunity has a 59% close propensity and has spent 349 days in Engaging, well beyond the 84-day historical norm; prioritize a next-step check before forecast review."
PMEENWD5,Corliss Cosme,Cara Losch,East,GTX Pro,Globex Corporation,Engaging,2017-01-21,0.5934837124247733,344.0,79.0,4.3544303797468356,True,0.6142355869238973,"Corliss Cosme's GTX Pro opportunity has a 59% close propensity and has spent 344 days in Engaging, well beyond the 79-day historical norm; prioritize a next-step check before forecast review."
DO6VKC2G,Marty Freudenburg,Melvin Marxen,Central,GTK 500,,Engaging,2017-08-01,0.6133723870506995,152.0,14.0,10.857142857142858,True,0.6013079484170454,"Marty Freudenburg's GTK 500 opportunity has a 61% close propensity and has spent 152 days in Engaging, well beyond the 14-day historical norm; prioritize a next-step check before forecast review."
81MXE1H7,Markita Hansen,Celia Rouche,West,MG Advanced,Bioholding,Engaging,2017-02-14,0.6134087482174642,320.0,80.0,4.0,True,0.6012843136586483,"Markita Hansen's MG Advanced opportunity has a 61% close propensity and has spent 320 days in Engaging, well beyond the 80-day historical norm; prioritize a next-step check before forecast review."
B5A1BERF,Kami Bicknell,Summer Sewald,West,GTX Pro,Umbrella Corporation,Engaging,2017-02-07,0.6194337187928323,327.0,82.0,3.9878048780487805,True,0.5963010096139274,"Kami Bicknell's GTX Pro opportunity has a 62% close propensity and has spent 327 days in Engaging, well beyond the 82-day historical norm; prioritize a next-step check before forecast review."
4NGSQODD,James Ascencio,Summer Sewald,West,GTX Pro,Blackzim,Engaging,2017-01-28,0.6216792874245567,337.0,82.0,4.109756097560975,True,0.5959084631740381,"James Ascencio's GTX Pro opportunity has a 62% close propensity and has spent 337 days in Engaging, well beyond the 82-day historical norm; prioritize a next-step check before forecast review."
7VOW7BUJ,Cassey Cress,Rocco Neubert,East,GTX Pro,,Engaging,2017-02-07,0.6288306495808592,327.0,79.0,4.139240506329114,True,0.5912600777724415,"Cassey Cress's GTX Pro opportunity has a 63% close propensity and has spent 327 days in Engaging, well beyond the 79-day historical norm; prioritize a next-step check before forecast review."
2J5E145N,Daniell Hammack,Rocco Neubert,East,GTX Pro,,Engaging,2017-02-07,0.6288306495808592,327.0,79.0,4.139240506329114,True,0.5912600777724415,"Daniell Hammack's GTX Pro opportunity has a 63% close propensity and has spent 327 days in Engaging, well beyond the 79-day historical norm; prioritize a next-step check before forecast review."
G5JP0G7Q,Markita Hansen,Celia Rouche,West,MG Advanced,,Engaging,2017-02-19,0.6204755471206598,315.0,80.0,3.9375,True,0.5912221443715711,"Markita Hansen's MG Advanced opportunity has a 62% close propensity and has spent 315 days in Engaging, well beyond the 80-day historical norm; prioritize a next-step check before forecast review."
5RNWV17L,Rosalina Dieter,Celia Rouche,West,MG Advanced,Golddex,Engaging,2017-02-11,0.6321789263024464,323.0,80.0,4.0375,True,0.5890836979034098,"Rosalina Dieter's MG Advanced opportunity has a 63% close propensity and has spent 323 days in Engaging, well beyond the 80-day historical norm; prioritize a next-step check before forecast review."
L2S4T3VA,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-02-08,0.6290837204504314,326.0,82.0,3.975609756097561,True,0.5889614353657562,"Cassey Cress's GTX Plus Pro opportunity has a 63% close propensity and has spent 326 days in Engaging, well beyond the 82-day historical norm; prioritize a next-step check before forecast review."
ZHXIDZNI,Kary Hendrixson,Summer Sewald,West,GTX Pro,,Engaging,2017-02-08,0.6290837204504314,326.0,82.0,3.975609756097561,True,0.5889614353657562,"Kary Hendrixson's GTX Pro opportunity has a 63% close propensity and has spent 326 days in Engaging, well beyond the 82-day historical norm; prioritize a next-step check before forecast review."
30R81VZX,Kami Bicknell,Summer Sewald,West,GTX Pro,Zoomit,Engaging,2017-02-06,0.6328311259098465,328.0,82.0,4.0,True,0.5886597681585998,"Kami Bicknell's GTX Pro opportunity has a 63% close propensity and has spent 328 days in Engaging, well beyond the 82-day historical norm; prioritize a next-step check before forecast review."
